text,true_label,predicted_label,confidence
unflinchingly bleak and desperate ,0,1,0.9840489625930786
"it 's slow -- very , very slow . ",0,1,0.8872410655021667
a sometimes tedious film . ,0,1,0.9640046954154968
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,1,0.8013981580734253
holden caulfield did it better . ,0,1,0.5186145305633545
"it 's a cookie-cutter movie , a cut-and-paste job . ",0,1,0.6643415689468384
"if you 're hard up for raunchy college humor , this is your ticket right here . ",1,0,0.5375449061393738
"for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam . ",0,1,0.6223877668380737
"though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class . ",1,0,0.5968327522277832
jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters ,1,0,0.9393221735954285
"you wo n't like roger , but you will quickly recognize him . ",0,1,0.9324580430984497
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms . ,0,1,0.9981339573860168
hilariously inept and ridiculous . ,1,0,0.9554203748703003
this movie is maddening . ,0,1,0.9304724335670471
sam mendes has become valedictorian at the school for soft landings and easy ways out . ,0,1,0.9019129276275635
it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so ,0,1,0.570289134979248
confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it . ,0,1,0.9903333783149719
"in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest . ",0,1,0.7459074258804321
"pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut . ",0,1,0.8773807287216187
it 's not the ultimate depression-era gangster movie . ,0,1,0.9843621253967285
what better message than ` love thyself ' could young women of any size receive ? ,1,0,0.91936194896698
"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie . ",0,1,0.9778401255607605
may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen . ,0,1,0.8750177621841431
"characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs . ",0,1,0.9436120986938477
it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel . ,1,0,0.8425918221473694
"the lower your expectations , the more you 'll enjoy it . ",0,1,0.9941931366920471
"its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ? ",0,1,0.8207988142967224
"at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave . ",0,1,0.7909923195838928
"and the lesson , in the end , is nothing new . ",0,1,0.9769393801689148
"once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard . ",0,1,0.978917121887207
"all that 's missing is the spontaneity , originality and delight . ",0,1,0.9954452514648438
"corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless . ",1,0,0.6061429977416992
reign of fire looks as if it was made without much thought -- and is best watched that way . ,1,0,0.9329853057861328
"stealing harvard is evidence that the farrelly bros. -- peter and bobby -- and their brand of screen comedy are wheezing to an end , along with green 's half-hearted movie career . ",0,1,0.6833645701408386
"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday . ",0,1,0.5322524905204773
"it 's played in the most straight-faced fashion , with little humor to lighten things up . ",0,1,0.6878793239593506
"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge . ",0,1,0.98380047082901
as unseemly as its title suggests . ,1,0,0.8563681244850159
basically a static series of semi-improvised ( and semi-coherent ) raps between the stars . ,0,1,0.6578673124313354
"while there 's something intrinsically funny about sir anthony hopkins saying ` get in the car , bitch , ' this jerry bruckheimer production has little else to offer ",1,0,0.9848394989967346
directed in a paint-by-numbers manner . ,0,1,0.7972100973129272
the story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships . ,0,1,0.9930980801582336
its well of thorn and vinegar ( and simple humanity ) has long been plundered by similar works featuring the insight and punch this picture so conspicuously lacks . ,0,1,0.8944370150566101
i 'll bet the video game is a lot more fun than the film . ,0,1,0.8326566219329834
hit and miss as far as the comedy goes and a big ole ' miss in the way of story . ,0,1,0.8705238699913025
"you 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear . ",1,0,0.9490048885345459
"it 's of the quality of a lesser harrison ford movie - six days , seven nights , maybe , or that dreadful sabrina remake . ",0,1,0.9512504935264587
stealing harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time . ,0,1,0.5090190768241882
( d ) oes n't bother being as cloying or preachy as equivalent evangelical christian movies -- maybe the filmmakers know that the likely audience will already be among the faithful . ,1,0,0.9834692478179932
it 's a grab bag of genres that do n't add up to a whole lot of sense . ,0,1,0.7490020394325256
"instead of hiding pinocchio from critics , miramax should have hidden it from everyone . ",0,1,0.9680579304695129
"the humor is forced and heavy-handed , and occasionally simply unpleasant . ",0,1,0.9194774627685547
a great ensemble cast ca n't lift this heartfelt enterprise out of the familiar . ,0,1,0.9907283782958984
another in-your-face wallow in the lower depths made by people who have never sung those blues . ,0,1,0.5756996273994446
"i do n't mind having my heartstrings pulled , but do n't treat me like a fool . ",0,1,0.8592560291290283
a giggle a minute . ,1,0,0.7392908930778503
"something akin to a japanese alice through the looking glass , except that it seems to take itself far more seriously . ",1,0,0.715178906917572
"even on those rare occasions when the narrator stops yammering , miller 's hand often feels unsure . ",0,1,0.9482921957969666
a tv style murder mystery with a few big screen moments ( including one that seems to be made for a different film altogether ) . ,0,1,0.5370120406150818
"( e ) ventually , every idea in this film is flushed down the latrine of heroism . ",0,1,0.5493736267089844
"it showcases carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff . ",0,1,0.9518500566482544
"harrison 's flowers puts its heart in the right place , but its brains are in no particular place at all . ",1,0,0.9715847373008728
a movie that successfully crushes a best selling novel into a timeframe that mandates that you avoid the godzilla sized soda . ,1,0,0.9913921356201172
"care deftly captures the wonder and menace of growing up , but he never really embraces the joy of fuhrman 's destructive escapism or the grace-in-rebellion found by his characters . ",0,1,0.9752110838890076
moretti 's compelling anatomy of grief and the difficult process of adapting to loss . ,0,1,0.9982652068138123
"it has its moments of swaggering camaraderie , but more often just feels generic , derivative and done to death . ",0,1,0.77623051404953
it 's a bit disappointing that it only manages to be decent instead of dead brilliant . ,0,1,0.9608556628227234
it has all the excitement of eating oatmeal . ,0,1,0.9243628978729248
"on the heels of the ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness . ",1,0,0.8018450140953064
"the film is based on truth and yet there is something about it that feels incomplete , as if the real story starts just around the corner . ",0,1,0.9137855768203735
nothing in waking up in reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay . ,0,1,0.6441307067871094
"if the first men in black was money , the second is small change . ",0,1,0.8462954163551331
"another one of those estrogen overdose movies like `` divine secrets of the ya ya sisterhood , '' except that the writing , acting and character development are a lot better . ",1,0,0.929673433303833
the film 's tone and pacing are off almost from the get-go . ,0,1,0.6057701706886292
"a broad , melodramatic estrogen opera that 's pretty toxic in its own right . ",0,1,0.6612802147865295
"every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency . ",0,1,0.9847987294197083
"it takes a certain kind of horror movie to qualify as ` worse than expected , ' but ghost ship somehow manages to do exactly that . ",0,1,0.7236881256103516
if your taste runs to ` difficult ' films you absolutely ca n't miss it . ,1,0,0.6689384579658508
"instead , he shows them the respect they are due . ",1,0,0.757436990737915
vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them . ,0,1,0.9801228642463684
davis ... is so enamored of her own creation that she ca n't see how insufferable the character is . ,0,1,0.9272619485855103
"the so-inept - it 's - surreal dubbing ( featuring the voices of glenn close , regis philbin and breckin meyer ) brings back memories of cheesy old godzilla flicks . ",0,1,0.7547496557235718
"without non-stop techno or the existential overtones of a kieslowski morality tale , maelström is just another winter sleepers . ",0,1,0.8244367837905884
"challenging , intermittently engrossing and unflaggingly creative . ",1,0,0.9944294691085815
"so much facile technique , such cute ideas , so little movie . ",1,0,0.6015788316726685
chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama . ,0,1,0.9546107053756714
"it 's another video movie photographed like a film , with the bad lighting that 's often written off as indie film naturalism . ",0,1,0.9850799441337585
slick piece of cross-promotion . ,1,0,0.9863807559013367
"once the 50 year old benigni appears as the title character , we find ourselves longing for the block of wood to come back . ",0,1,0.8656104207038879
"sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is rebecca romijn-stamos . ",0,1,0.8748627305030823
not since tom cruise in risky business has an actor made such a strong impression in his underwear . ,1,0,0.5271403193473816
"... routine , harmless diversion and little else . ",1,0,0.9438337087631226
"is the time really ripe for a warmed-over james bond adventure , with a village idiot as the 007 clone ? ",0,1,0.53498375415802
"the reality of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque . ",0,1,0.9854224920272827
"every time you look , sweet home alabama is taking another bummer of a wrong turn . ",0,1,0.7653077840805054
no telegraphing is too obvious or simplistic for this movie . ,0,1,0.7120202779769897
"less dizzying than just dizzy , the jaunt is practically over before it begins . ",0,1,0.8373281359672546
it 's everything you do n't go to the movies for . ,0,1,0.9955359697341919
"but taken as a stylish and energetic one-shot , the queen of the damned can not be said to suck . ",1,0,0.7637763619422913
